 0xb9f02d93,0x6f56ac62,0xef2373e7,0xf2fb6dfe, 0xa70efe75,0x13d1ae14,0x586c8096,0xa46629de,
 0x7580a130,0x9c88d2b1,0x685fffa9,0x9384f381, 0xa3150c2e,0xac51ebdc,0x59377673,0xbb38b942,
 0x078bf20c,0x1fff145f,0x58b3beb0,0x09881583, 0x7de6ef01,0xa981304a,0x42ef4c05,0xb439a495,
 0x7f347d55,0x4ed80ffc,0xd9861a6b,0x8049af7f, 0x1b3a6f73,0x0e84fa52,0x61a814fc,0xe261be11,
 0x053afff8,0xaca1f6fd,0xe1a01d5e,0x81b6e7ea, 0xdbc4754a,0xba328252,0xfed56376,0xf75e929b,
 0x873fc915,0xd71134ac,0xe7284b6f,0x9f44c4a8, 0x5b1cfabf,0x1ee79bef,0x800c0529,0xd0e38592,
 0x68eee2c7,0xb25a690d,0x73a1969b,0xee741515, 0x6751bc5e,0xc915b63f,0x40232abc,0x1a793076,
 0x3ebf530d,0x55c89485,0x48daad26,0x10ef2c51, 0x8f23473c,0xc59fa342,0x2a9c1a5a,0x13b232ea,
 0xe94ade6a,0x9f12f496,0xe66484e1,0xf6f4027a, 0x82f6c532,0x4a6035e7,0x83863813,0xd7a1334b,
 0xe022fdc7,0x941422df,0xa0f903c1,0x1e0aa2de, 0xd09ce622,0x32fd4ee4,0x67ccf0b7,0x23d935a6,
 0x25b318cf,0xe4b6d0c4,0x9869a1ec,0x082f6e4a, 0xbf10999c,0xe08adfc6,0x7aee1a8c,0x101737ce,
 0x0242de24,0x2fc60105,0x7c1153ba,0x02136fe1, 0x506e3e6a,0x6efd1390,0x3dcf770b,0xb7af8c77,
 0xe89b40f9,0x116f9872,0xd4be57b5,0x01d04ba7, 0x5bafb899,0x61975b5f,0x04fcc5e9,0xf701faa6,
 0xabd25bdf,0x65a28d0f,0x25cdb13a,0x212185c2, 0x422bfe68,0xd3e924e9,0x43aa6f23,0xfb51d8a7,
 0x6ca41180,0x691dfa75,0xb9790c06,0x5ab216d6, 0x19362a18,0xe279338a,0x887c42df,0x715f2a7d,
 0x5cf54b6b,0x59885af2,0xa4be7ffa,0x96b548cc, 0xe10a4b15,0x9f30ea22,0xfaaf724c,0xe65c8b7d,
 0x522a315d,0x169ba740,0xf6c02041,0x0d7a9c1e, 0x91babdeb,0x6d044d15,0x25017246,0xa17db8cb,
 0xab24256b,0xc24e05f2,0x0ae1093e,0x26a3d362, 0xc593dfd5,0x79832abd,0x17f56225,0x1d5feaf7,
 0x082fbf56,0x8e36127d,0xa951299b,0xa2307b56, 0x2596623d,0x417466f2,0x3ae559bc,0xe54bf821,
 0x0f1720fe,0x273934fa,0x8d755e93,0xbd51420a, 0x19a0d357,0xe8ae3b2c,0x4b0bbdae,0xda292217,
 0x35a431f1,0xbcfecce4,0xbcea107d,0x10c703d7, 0x25774296,0x31745849,0x61a35a29,0x9cdf673e,
 0xd20f4d19,0xf8d11acf,0x892d7c99,0xf3571f27, 0x69c1aca6,0x2a052a4f,0x000f2d2c,0x54f9d2a7,
 0x9948732b,0x7d69e10a,0x2914db26,0xc495932f, 0x3fb48f73,0x667f9c95,0x68d29fb3,0x000cc117,
 0x5a533fba,0x63f1a257,0x0cf8b2cb,0x0cce1331, 0x61e8240d,0x14144816,0xf8323415,0xb9df7e52,
 0xc99cfd83,0xe8fe0cc3,0xf8813a2d,0xdbb0ad94, 0x896c5d69,0x045de4e5,0xfefb120f,0xc6c45d4e,
 0xee8ae248,0x0bc6f29d,0x80fd9dfc,0xcd5263a3, 0x3817ec14,0x957058bc,0x4b0b2224,0xe9ad64f5,
 0xd84d419d,0xad76b2a7,0x04b5a30c,0xcfaad3f9, 0x51518131,0x71b29a9c,0x69415d18,0xb4eb8142,
 0xb2b6cfa0,0x194c4e9e,0xb9c7afe1,0x4150b16d, 0xa576a9ee,0x2a794953,0x9ebc75e5,0xc01ba57f,
 0x74795494,0xd6bac98e,0xaa888105,0xec1a5ef4, 0xfca92877,0x6766d3b7,0xf9fd0593,0x1c35a3cc,
 0x034d883c,0x14e087a1,0x71c5bb58,0x883610be, 0xfa653bd3,0x218c73ec,0x3054bb5b,0x4ee4725e,
 0x0e59ad37,0x131e4136,0x35955679,0x70aca318, 0x71d54b83,0x5a81588a,0x2a1c930e,0x77f77514,
 0xbba66363,0x3a27776d,0xb25a1e01,0x44cf5674, 0x742b536b,0xaee5503e,0x2fb948cc,0x3a755727,
 0x1b0d8670,0x6407fd0d,0x34de4897,0x269d20ce, 0x6d5062d3,0xc990f6ae,0x4c8a3c71,0xd27326b4,
 0xcbb25531,0xfbe34bd8,0xb287231a,0xed05e6ee, 0xe37a8628,0xd1ed4d97,0x6b2aba2c,0x371e348a,
 0xf17c2aa0,0x5dd2cbf1,0x2cc4f614,0xc94f54fd, 0x237bc7bc,0x3a8300f9,0x34b81726,0x59036466,
 0x9161db7c,0x39625c0a,0xd32ef08d,0xc82ad545, 0x0da1db11,0x145d67d3,0xf1982716,0xde253633,
 0x2cfee295,0x5957dd11,0xc1b0d198,0xd037419d, 0x362c6752,0x563018e3,0x93346ac4,0x47a0ae14,
 0x2e2b1bae,0xc0d310ce,0xd1a40c01,0xcb3b8437, 0x46a5197a,0xa84011b9,0x156132ce,0x9754dbd9,
 0x20b6cb1e,0xb8141fef,0x5499fb7b,0x7ea55989, 0x2aa5293b,0xec8ea718,0x20b5d312,0x8bab3a98,
 0x1f18c459,0x1fb15699,0x511fb2fc,0x8ecb7c66, 0x721378ff,0x30b0f48f,0xe86241a9,0x52acc1d3,
 0x20dd502e,0x19a30f40,0x95899e32,0xd9dc454f, 0x8faf88be,0xfa88f1c9,0xc30dc1a4,0x6f2a63b9,
 0xab54dfb4,0x1b04d9df,0xbcd12ef2,0x0dee2c8f, 0x7f8e610d,0x8efe22b6,0x4956aca7,0x5b3adaf3,
 0x29e90f18,0xc77b92aa,0x2804fddc,0x99383534, 0x32385d59,0x7bf0c7a9,0xdc605db1,0xf0de1b34,
 0x4d225348,0x0761d90a,0xf7bd2396,0x4d8b3ec1, 0xcf511d52,0x5f73f8bf,0x190b78b8,0x9c236c81,
 0x7312b9b6,0xd373a95a,0xe37f4528,0xd7639dec, 0x2f4753d7,0x056129cf,0xd1055236,0xf46f09c3,
 0x454d3aae,0x77247592,0x031d1a03,0xd34227d2, 0xadd719ea,0x3388224c,0x2e7a70d2,0x87b3d426,
 0xf9abae50,0xd0fb6692,0x817fd69a,0x6a1009ee, 0x7cccab34,0xfa657bcc,0x4fb34e1a,0x4df8e577,
 0xdda2f3cb,0x5d1b3e75,0xdc7f9290,0xf7820233, 0x39ddb2c1,0xe9d9b85b,0x4fc427c5,0x55571dab,
 0x39ec4912,0x27c59c4b,0xd4ead4f3,0x966945a4, 0x6d522369,0x29727572,0x3d196414,0x19805207,
 0x58199d13,0x772972bf,0x125eb191,0xc45db62c, 0x894b0410,0xfdaeb063,0x0ea7b4af,0x64c2a1de,
 0xee084261,0x89b35787,0x51f8afd2,0xc99b1b2d, 0x56130608,0xf899643b,0xe7eb488e,0xd0a9d4b6,
 0x8e514987,0x40cd167e,0x450591a2,0x87e48048, 0x48e3ff6f,0xd8569494,0x42cb51e5,0x917fc94b,
 0xfb9599d3,0x44c9e418,0xc7fa49c9,0xb9c13c03, 0x67aa68ea,0xe83f5eb5,0x80d2fd74,0x05760642,
 0x289eea69,0xa9695283,0xf192ccbb,0x643a2a48, 0x14ed8fdd,0x562bbb34,0xc468696f,0xb36e34a1,
 0xb658a1bd,0x28878d20,0x8f7c4d6d,0xac37cfd5, 0xe999c6f4,0x1bf74c09,0x55d9fef1,0xb5ae4c68,
 0x4438044d,0x2501165b,0x6b5a6c45,0x180a757c, 0x43d21368,0x8941ec40,0x14ff3968,0x990b63dd,
 0x948d5081,0x37566e6b,0xfa463dc6,0x4448079f, 0x22be7ae3,0xe1b69f42,0xdd02ee59,0xb4f859fd,
 0xadb976b2,0x9ba79a87,0xcbfe4eb4,0x04bfa2ca, 0xbfdd6f7e,0x6312798e,0x9257db58,0x5b47d878,
 0xc9637851,0x546c6054,0x18c1b7bb,0xb60ab8df, 0x8bbc0093,0xdc4c1b11,0x42753d9c,0x1f1a4915,
 0xb335c085,0x596dfd82,0x4b7c507d,0x09ea0520, 0xe13901b4,0xcb3525b4,0xe89298a2,0xf0849bcc,
 0x16a26d10,0xd5325f0f,0xb4b82d7c,0x6a80e3e4, 0x9f356709,0x318a5a57,0xdc7cf7ff,0x593105e8,
 0xaa91a50e,0x941e3469,0xa77a6630,0x2d59239b, 0xba1caeed,0x65ac2634,0x08a8d9f5,0xc1486511,
 0xb1af1f79,0x96d9ba2c,0x2f94098b,0x3fe6191e, 0x0a2980b3,0xcccbbc28,0x8561c8de,0x8f67549f,
 0xc7bc4304,0xa92e3433,0x1142eecc,0xfffc96e7, 0x386db520,0x63a5d63e,0x9cb26cd4,0xa6924d97,
 0x71c224a2,0x58edf96f,0x27c3f410,0x3a4b2784, 0xc5e9c6f8,0x7f2e2364,0xc1d94a4f,0xc861ea11,
 0x74a586df,0x78b49a9d,0xcbf4c2b4,0x87cc3d24, 0x452cfee6,0x27285cd3,0x91738183,0x1c935c80,
 0x418da10e,0x6d71af5d,0xd5193fd7,0x425614db, 0x58edb8f8,0xc4e648b3,0x915afdaa,0x9a3d1fe8,
 0x2b0a3dd8,0x4d0296bc,0xc8d792f5,0xdd9ec526, 0xd2386aa3,0xafda98d0,0x871f93d4,0xa6870ebd,
 0x383eb25e,0x49b16070,0x1d82f115,0x39aa36e5, 0xaef6b895,0x1cde75a0,0x9cc1c427,0xe617bc0d,
 0xc6528608,0x8936dc4b,0x763fd9d6,0xe4bd5648, 0x67c781d0,0x553ad7d5,0x000b07f4,0x95ff0341,
 0xa62a4f4d,0x9be938c7,0x5c2871a9,0x4ded17b8, 0xc2796491,0x21475ada,0xc6940d47,0x0d6b4e85,
 0x1c225991,0xe6899bcc,0xbf626aad,0x665bdc13, 0xe79bf718,0x49d3890c,0xd8a33c4c,0x5c0f8ddd,
 0x3d4c1eef,0x75bad005,0xef70d45b,0x6a9d1b50, 0x93dfa5bd,0xafea801a,0xc1ea7bd2,0xe9c5ef27,
 0x14dc6ad0,0x2ff89a0e,0x8e85d05e,0x24a2221f, 0x8ac96465,0x96fefd68,0xce7e9e16,0x456dffc5,
 0xc44a0745,0x2698304b,0x2984e94d,0x6d7e424a, 0x81206ce6,0x690be12b,0xdc6db323,0x2395cd14,
 0x62bc823e,0x87c4830a,0x318d0c00,0x5a7d9ca6, 0x6b3422ae,0xa3331a1c,0xcb44a1a7,0xf4e3a3c1,
 0x1c1f0956,0x19b13255,0x691af2a8,0xa8703100, 0x391bc8ec,0x6d7e3189,0x1a1898a1,0x68edab37,
 0xa4ab83bf,0xde3b54df,0xedc856cb,0x4d064dc2, 0xc4f3dfad,0x61b4924f,0xc8f77cfd,0x5fbe6f77,
 0x82715395,0x39ebff29,0x0c85b406,0xd66f0ca3, 0x61aed58e,0x6b08a30a,0x63bf1686,0x44635132,
 0x107bf437,0x7a21943e,0x9f7a5c15,0x09274263, 0x19857af6,0xcde31aa7,0xaf48315d,0x5cf93953,
 0x3385e75e,0xd590d1e0,0xcce0fd0e,0x8b31dbb1, 0xb3e24010,0x491070c8,0x66e71f5a,0xee58dcdc,
 0x05a552f0,0xc5b4b2b5,0xf179fef0,0x900581b2, 0xc3826325,0x6dfd7e24,0x8a7467ba,0x8e93db7a,
 0x7cefd492,0x5ad3b53f,0xa81e7197,0xf6ee9635, 0xdd4052ef,0x64c5ce6e,0x098d55c5,0x8f9ad557,
 0x47a9dba2,0x977dd485,0xf80aa7ae,0xe9cf148a, 0x345f770d,0x84bb3e32,0x7c2f80e4,0x9a460d7e,
 0x5b71f5b5,0xb8409332,0xd1b01434,0xb0043785, 0x804994e6,0x7c05ef4b,0xeb07e241,0x904840f2,
 0x97cce4b1,0xeeee882f,0xea222922,0x1de82507, 0x4232a474,0x9eb47555,0xed8d6180,0x7a892a4a,
 0xe38d1cfd,0x462d73d7,0x3d8f6dfd,0x2fe7ff14, 0x9f0f2bdb,0xebf5e356,0x24212313,0x3867b191,
 0x067a259a,0xacc36a2b,0x46af46c2,0x115fc4a8, 0x27a21cc3,0x595212fd,0x1eb68a99,0x9155a388,
 0x76f211cf,0x472ea7ac,0xd77790d3,0x5a961a1a, 0x375ca572,0x9a40e3a8,0xcb3ef831,0x62c7adbb,
 0x4e4616a3,0xa0c54645,0xa004e9c5,0xd2b560c8, 0x8b553428,0x88bac4ad,0xcc84fa12,0x1945f1a1,
 0x44bee7dd,0xc9438b44,0x0ff5fb47,0x02428a6b, 0x2030e1a8,0xedda0746,0x1319ed27,0xfc918b82,
 0x710d47b3,0x2b8d8df8,0x886bf25f,0x2dc81c9b, 0x7bad0e6a,0xe2327172,0x841c9a88,0x9961d861,
 0x7f924807,0x5ff9f472,0xfd2e7fe5,0x41164164, 0x0434c22f,0xb49aa68d,0x7673bd9a,0xce2c0146,
 0x3d91e786,0x4d1b61d9,0x47036bbc,0xdb006efb, 0xb76a9ccf,0x9b0dcf49,0xfaf07e0d,0x3ad1652f,
 0xf74991fc,0xd3cc8bfb,0x8d9e414a,0x73ffa9de, 0xeb620256,0xbf5cf82c,0xd0419e11,0x954b062a,
 0x3b6d4ee8,0xf5f09659,0xf52d68c7,0xc18f21f8, 0x673b1191,0x84e2a654,0x6ea4c7fa,0x414d18a5,
 0x20e07bb7,0xd0c7540c,0x5fc6a43a,0x0b6c3f8a, 0x5b870b5d,0xd40c6950,0xdd69ea24,0x930c0f19,
 0x1a9f20c4,0xbbef1d2b,0xe8b1b018,0x1f217e67, 0xa7acd3a5,0xf1cd56ac,0xdeb2ffa9,0x7c32693c,
 0x9755c273,0x41a08a92,0xd06e118d,0x71d5e832, 0xca3a1f2d,0x6f9adf27,0x836ae726,0xa5010782,
 0x19b77d15,0xcb27017a,0x3e13ae11,0x5d5561a6, 0x62bdf1bf,0x510a7108,0xf06bf500,0xa147acf8,
 0xdfc759ec,0xe17d6959,0x95f627b4,0x9f358c4c, 0x876e8664,0xf4f6b13b,0x3bdbb94d,0x78686354,
 0x23baeeb9,0x31a9788e,0x478328d5,0x6c8f933e, 0xad2b5fc3,0x6eebc828,0x611167d4,0x8eb4b53b,
 0x705404d3,0x56110864,0xf6f48ace,0x3a6cc060, 0x1ad0f388,0x3d33a705,0xb40b7880,0x71ec026f,
 0xac9cf6d2,0x0e6997e0,0x99d6b39b,0x7df4d22c, 0x4b52b51d,0xc4b15a7e,0x1666193f,0xee9d3081,
 0xea1a871c,0x78e16ad8,0xf0999bdc,0x6f5817c7, 0xf50b78d6,0x4655b71b,0x7474e871,0x09adcc99,
 0xab75f9e5,0x6cb2bc7b,0xc277c235,0x293f3f47, 0xf3c3a72a,0xa7a87281,0x5d33393a,0x2f3797ab,
 0xdfe06bf8,0xc5d2371b,0xd588399d,0x2eef1290, 0x5479ddf0,0x1806161f,0x8b428512,0x83811b1d,
 0x50750272,0xbd4892df,0x35f97afe,0xa1700bbf, 0x5f156b30,0x5bfed455,0xba43c201,0x508c0e0f,
 0x23166d1a,0xbdd5363c,0x411a56c8,0xcd0b85c2, 0xd093ce4e,0x5b49583f,0x8b8b6512,0x5768c4cc,
 0x9444292e,0xf560a695,0xf36f52d7,0x89784880, 0x8a450d39,0xae2a4b3c,0xbaeb547f,0x062fb145,
 0x44161ff4,0x39a13d8a,0xa86c785c,0x4a4e3a39, 0x38875977,0x12d7d7df,0xddc43373,0x3e1889de,
 0x478d15fd,0x95b27721,0x0fab7a80,0xa6166bd4, 0xb0f5eb31,0x0b535939,0x86199add,0x2e6866d2,
 0xbfdbf79b,0x2f459fba,0x53936740,0xcc27e6b7, 0x501ca227,0xe3b92799,0x6499b3a0,0xeb328767,
 0x48a7676b,0xad66561f,0x04502ecb,0x041b8e7e, 0xdc01f7db,0xf2d57b2c,0x8c2f37da,0x078e6763,
 0xd6296193,0x99106837,0xa1f07535,0xe7850235, 0xff8b54f9,0xecc307d9,0x9f75c5ad,0x05d2e2a3,
 0x317b484a,0xa7ecd8ac,0x0205561d,0x073f78bd, 0xc9eccee5,0x16cd0def,0x50a602df,0xfcf8b572,
 0x5544e8aa,0x83c2331f,0x9bb899e5,0xac78498d, 0xe32dd316,0x3a751c7e,0x1eb726ad,0xda32653f,
 0xd4889842,0x1d656113,0xd55f6ee6,0x5cbe93d7, 0x2d955786,0xc2a14ef9,0xad1ee3f4,0xf6e26fbd,
 0x846c017a,0x2665d10f,0x22a3cc1a,0x107bcb20, 0xcd2053c8,0xf1a92fec,0xba6079ca,0x6108b232,
 0x81b2cfcb,0x1629a30a,0xfb3d57d8,0xe061f924, 0xa7ec9303,0x33ed8808,0x097bfd67,0xd7b17007,
 0xad4d2bbc,0xe35e1dce,0xb614d3ae,0xf87bdac0, 0x17827255,0x1f16c1ca,0x3f4f3ab0,0xac7533d0,
 0x2f29f3d8,0x9ac3aeeb,0x61461aa6,0xf0a5c257, 0x4599059a,0xe41e2770,0xa63a7c4f,0x847094af,
 0xa80212ac,0x95741efd,0x417be916,0x1117047e, 0xa9a9e88e,0x02b1301c,0x8593f7e1,0xcea4f916,
 0xcdcd6287,0x403d670e,0xe0f3b569,0xa7c1cd33, 0xb4cc58b0,0xf972314b,0xae5a03a5,0x311b2191,
 0xacf817db,0xc77829f5,0x5fe85ce2,0x8381801a, 0x0e537799,0x822f1ba2,0xe70137bc,0x5b6c2f54,
 0x964bf1b6,0x82475aee,0xb027747e,0xb412fad5, 0x7c814ae6,0xdffebb31,0xa729c739,0x7f3a85a5,
 0x944beb40,0x02ab71ea,0xa8f58d99,0x4ebf9ba1, 0x9daeae1d,0x790ae009,0xb92617dd,0xb771b4cf,
 0x33e906dd,0xb05d6168,0x9ceb8c57,0x6901d026, 0xe998c6f5,0x004fea73,0x6155188f,0x5131944c,
 0x90959c41,0x520d09c6,0x2e21814e,0xb1cb283a, 0x43841c04,0x4f672d0b,0x70000739,0x2bec117e,
 0x5c9a0373,0x8404809d,0xf5d03a88,0xe5aaa425, 0xd03910f3,0x52ca2c3b,0x5d88d25e,0xbae6b71c,
 0x9abba448,0x20cd6d08,0x67bff3c7,0x188914e6, 0x272c3163,0x6104b171,0x8cf56a99,0xf0b7bec8,
 0x54fbdabf,0xd070523a,0xf783dfc6,0x148df89b, 0x7dba3f2e,0xbd39da47,0x1b7653af,0xb7332b54,
 0xa3337b00,0x522c52f0,0xcf7b9569,0x08541a05, 0x6ea7c178,0x4af62c1d,0xd7170cc2,0xe3db300e,
 0x645fe216,0x20292126,0x7927582f,0x5b6b1b7f, 0x7f74a4d3,0x2a2d17bd,0x81dc04e4,0x43fbd4dc,
 0x53cf8cac,0xd7e52009,0xef1ca192,0xe3cae147, 0x70b8add4,0xd06b3fab,0xf33afc24,0xf2aa1082,
 0x28def030,0xd6fee43b,0x591f1ddd,0x3588232c, 0xc7422386,0xb0d02553,0x994210dd,0x2dc9ef5a,
 0x45771c4f,0xb9e6bf60,0x91b683f0,0xadb63f3e, 0xb6bf9fd9,0xf9a9ef1f,0xabeddaa5,0x26ff7d20,
 0x9a2f37d1,0xf2efd60f,0x374bdf0c,0x9c7a7db0, 0x64ec0145,0x65c93c49,0x163bfc2e,0x5d4aa446,
 0x88e092f2,0x3218b5e1,0x4580ae8d,0xaade7183, 0x4b00aa6a,0xf1b0abe3,0x20fe49d7,0x4fec5e39,
 0x87795280,0xac8028cb,0xa5b61a84,0xfd252a97, 0x711da69c,0x860717a2,0x13bda9b2,0x3fef49c5,
 0x0b48afd0,0xf427ed01,0x8ebd1a8e,0x4dc24cc4, 0xc4d88920,0x22b633dd,0xa3612b75,0x7edfd634,
 0xf7c8d546,0x057a7f64,0xa0aa427f,0x9d66e9bf, 0x48b4af96,0x8be1ad8a,0x639d6963,0x13b6ba35,
 0xb6f0683b,0xc63fbfbc,0xffe0a375,0x67d0ca45, 0x9053d0b1,0xffd0dc10,0xc5a3ef7e,0x58250586,
 0xf67935b7,0x554a731a,0x916490e1,0xa9a25e73, 0x6298637a,0xcdc0c95f,0x78db670d,0xa38b0724,
 0x8a3ccaad,0x53c65334,0x8bbe5a99,0x358828bb, 0xf7613c20,0xb3606c7f,0xaccde2f6,0x5a5d321b,
 0x64b80707,0x36399f5c,0xa6d7a338,0xe4bda0e4, 0x84f4285b,0x94906408,0xd79408e7,0x94800c33,
 0xa4a154a2,0xf742ab6c,0xbd540354,0x73a2b353, 0xb960cf80,0x39f4e36e,0xfa69749d,0x9728aa5e,
 0x3952d5a2,0x27fb5c2f,0x182afc82,0xb5400f4b, 0xa571224c,0x420bfe37,0xe3a2162a,0x56ecf133,
 0x35d09309,0xaee2b753,0xa90cba1e,0x781defe3, 0xea3bf9ba,0xf2ab1320,0xac53b312,0xb719b225,
 0xa6fcf16a,0x7742558c,0x987e602e,0x702ce5d6, 0xe8ba0639,0x18c2325d,0xea67709b,0xd04a9c38,
 0xe5881c69,0x0a46c1f1,0x495e0233,0x89fef8b2, 0x1e6b72da,0xf431fd88,0x601a828b,0xa1c3b945,
 0x537a34a9,0xea79f1dd,0x81d4da1a,0x9d7a31b9, 0xe95c80d8,0xb042df7d,0xf4ee4f3e,0xa6c866a0,
 0x268b7972,0xe71b88fd,0x4cb4317b,0xda346064, 0x023c782c,0x7a4cd226,0xf845d78a,0x699f4f2b,
 0xa87a2a8f,0x72a20e88,0x80f4ed9d,0x417b4e37, 0x26da32b9,0xd271a38c,0x8d86a654,0xdee806d3,
 0x28024a7e,0x0671381b,0x6c4fe426,0xcf618ac9, 0x3eb51ed2,0xa7f97028,0xbe5d9d57,0xd044c690,
 0x4d3184c1,0xaa888c47,0x89c85025,0x8fb63b36, 0x8f53bed7,0x0cf5a918,0x25b7a065,0xae0195a4,
 0xb9c6e32f,0x664247a6,0xac8e1ba0,0x518787cf, 0x521ffb74,0xbb8e0f4b,0x5531b569,0xb0253e72,
 0x927238e7,0x404844ae,0x41b3255f,0x8c2ae977, 0x1ee4018f,0x5567ef71,0xa28f2a5e,0x02266f04,
 0x60c843f4,0xdecc1222,0xcbb4e76b,0xcc2d739d, 0xfcb90bb6,0x13304745,0xaf59a3bb,0xca43e69b,
 0x44c277cd,0x2aa3844e,0xb6c840da,0x91049ea9, 0xf5114440,0x450baf65,0xdc01df27,0x99829512,
 0xcc807552,0x60fb3d8b,0x167e30c2,0x3788a7d6, 0xc803c7b7,0x50ad8020,0xd8ef2416,0x7c97405f,
 0xde8010ad,0x55194b28,0x07157659,0xd4606c95, 0xde131e8f,0xbf039036,0x31ce1383,0xa23ced66,
 0x7d48bd5c,0x706f35ab,0x5739acb0,0x546aae30, 0x06deebce,0xdb1033b3,0x9eeac945,0xf46578e9,
 0xe0f6dc9d,0xa26ac31f,0x5a5b7018,0xca5c6cf8, 0x2cbdc57b,0x53bfc40a,0xc970e614,0xc665458e,
 0xef20a062,0x38b084fd,0x1bbb636f,0x6912a98f, 0x6266afaf,0x19c10735,0xb549c47a,0x14dae26e,
 0x3b0982ea,0x4334e182,0x684594e7,0x6448ff91, 0x4a0a8fc7,0x22f9872d,0xa0b137ba,0x55dfe510,
 0x0fed39ee,0xb427aa09,0x17529f93,0xf9fa7dd9, 0x781b5321,0xb458d615,0x3e91a8eb,0x3a853906,
 0x27e2044d,0x9a78f3f9,0xbee9ce2e,0xb72986ff, 0xc1302782,0x9c5c3beb,0x99b6fea5,0x07c1172d,
 0x053e3d24,0x7a610d1d,0xe8f1c914,0x3c0f75f1, 0x77da75a2,0xa3957302,0xe6358d15,0xf4c9d46d,
 0xfcc17e25,0xb815852d,0xb6a5c0c9,0x545fa6d3, 0x140a3604,0xa0ea67e9,0x3fd57309,0x80d15c21,
 0x2b68c94b,0xc65c46b4,0x98a8e985,0xe24e2c73, 0x48fb182e,0xebd4373e,0xb0d245d3,0x55f1b7ba,
 0x9138f948,0x60a874f9,0x726b036a,0x16a2f7f8, 0x65a18421,0xe5c24cb2,0x89fa4715,0x2e85f365,
 0x0e425095,0x5fa7d519,0x2de4899b,0x81aab62b, 0xc0e08e0b,0x5a3ba5c8,0x8264e5c5,0xe84aef5e,
